2025-09-06 17:06:36,249 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:36,624 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:37,029 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:37,433 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:37,851 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:38,256 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:38,661 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:39,065 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:39,467 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:39,872 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:40,276 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:40,681 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:41,086 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:41,501 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:41,904 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:42,308 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:42,675 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:43,080 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:43,496 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:43,903 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:44,319 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:44,723 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:45,126 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:45,530 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:45,887 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:46,297 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:46,714 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:47,132 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:47,489 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:47,896 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:48,303 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:48,707 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:49,113 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:49,517 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:49,934 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:50,338 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:50,741 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:51,159 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:51,524 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:53,148 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:53,511 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:53,865 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:54,268 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:54,674 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:55,078 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:56,210 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:56,568 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:56,931 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:57,334 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:57,738 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:58,146 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:58,511 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:58,923 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:59,332 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:06:59,740 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:00,104 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:00,515 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:00,923 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:01,588 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:01,956 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:02,378 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:02,794 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:03,199 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:03,602 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:04,009 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:04,416 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:04,825 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:05,237 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:05,600 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:06,008 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:06,416 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:06,830 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:07,242 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:07,657 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:08,073 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:08,490 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:08,848 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:09,264 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:09,677 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:10,083 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:10,492 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:10,852 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:11,269 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:11,682 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:12,047 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:12,456 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:12,864 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:13,274 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:13,685 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:14,092 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:14,499 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:14,860 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:15,271 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:15,677 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:16,082 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:16,495 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:16,904 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:17,321 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:17,734 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:18,099 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:18,516 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:18,922 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:19,287 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:19,703 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:19,924 | ERROR    | main | execute_query:474 | Error en query (intento 1/3): (sqlalchemy.dialects.postgresql.asyncpg.ProgrammingError) <class 'asyncpg.exceptions.UndefinedFunctionError'>: function date_part(unknown, integer) does not exist
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
[SQL: SELECT COUNT(*) FROM (
                SELECT 
                    p.*,
                    l.nombre_laboratorio,
                    s.nombre_seccion,
                    CASE WHEN p.stock_actual <= p.stock_minimo THEN true ELSE false END as alerta_stock,
                    CASE WHEN p.stock_maximo IS NOT NULL AND p.stock_actual > p.stock_maximo THEN true ELSE false END as stock_excedido,
                    CASE 
                        WHEN p.fecha_vencimiento IS NOT NULL 
                        THEN DATE_PART('day', p.fecha_vencimiento - CURRENT_DATE)::integer
                        ELSE NULL 
                    END as dias_para_vencer,
                    CASE 
                        WHEN p.stock_actual = 0 THEN 'Sin Stock'
                        WHEN p.stock_actual <= p.stock_minimo THEN 'Bajo'
                        WHEN p.stock_maximo IS NOT NULL AND p.stock_actual > p.stock_maximo THEN 'Excedido'
                        ELSE 'Normal'
                    END as nivel_alerta
                FROM producto p
                LEFT JOIN laboratorio l ON p.id_laboratorio = l.id_laboratorio
                LEFT JOIN seccion s ON p.id_seccion = s.id_seccion
                WHERE 1=1
             AND p.estado = $1) as subquery]
[parameters: ('Activo',)]
(Background on this error at: https://sqlalche.me/e/20/f405)
2025-09-06 17:07:19,924 | ERROR    | main | execute_query:474 | Error en query (intento 1/3): (sqlalchemy.dialects.postgresql.asyncpg.ProgrammingError) <class 'asyncpg.exceptions.UndefinedFunctionError'>: function date_part(unknown, integer) does not exist
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
[SQL: SELECT COUNT(*) FROM (
                SELECT 
                    p.*,
                    l.nombre_laboratorio,
                    s.nombre_seccion,
                    CASE WHEN p.stock_actual <= p.stock_minimo THEN true ELSE false END as alerta_stock,
                    CASE WHEN p.stock_maximo IS NOT NULL AND p.stock_actual > p.stock_maximo THEN true ELSE false END as stock_excedido,
                    CASE 
                        WHEN p.fecha_vencimiento IS NOT NULL 
                        THEN DATE_PART('day', p.fecha_vencimiento - CURRENT_DATE)::integer
                        ELSE NULL 
                    END as dias_para_vencer,
                    CASE 
                        WHEN p.stock_actual = 0 THEN 'Sin Stock'
                        WHEN p.stock_actual <= p.stock_minimo THEN 'Bajo'
                        WHEN p.stock_maximo IS NOT NULL AND p.stock_actual > p.stock_maximo THEN 'Excedido'
                        ELSE 'Normal'
                    END as nivel_alerta
                FROM producto p
                LEFT JOIN laboratorio l ON p.id_laboratorio = l.id_laboratorio
                LEFT JOIN seccion s ON p.id_seccion = s.id_seccion
                WHERE 1=1
             AND p.estado = $1) as subquery]
[parameters: ('Activo',)]
(Background on this error at: https://sqlalche.me/e/20/f405)
2025-09-06 17:07:20,068 | INFO     | watchfiles.main | _log_changes:308 | 2 changes detected
2025-09-06 17:07:20,436 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:20,467 | WARNING  | main | execute_query:471 | Transacción abortada, haciendo rollback. Intento 2/3
2025-09-06 17:07:20,467 | WARNING  | main | execute_query:471 | Transacción abortada, haciendo rollback. Intento 2/3
2025-09-06 17:07:20,801 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:21,169 | INFO     | watchfiles.main | _log_changes:308 | 1 change detected
2025-09-06 17:07:21,475 | ERROR    | main | execute_query:474 | Error en query (intento 3/3): (sqlalchemy.dialects.postgresql.asyncpg.ProgrammingError) <class 'asyncpg.exceptions.UndefinedFunctionError'>: function date_part(unknown, integer) does not exist
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
[SQL: SELECT COUNT(*) FROM (
                SELECT 
                    p.*,
                    l.nombre_laboratorio,
                    s.nombre_seccion,
                    CASE WHEN p.stock_actual <= p.stock_minimo THEN true ELSE false END as alerta_stock,
                    CASE WHEN p.stock_maximo IS NOT NULL AND p.stock_actual > p.stock_maximo THEN true ELSE false END as stock_excedido,
                    CASE 
                        WHEN p.fecha_vencimiento IS NOT NULL 
                        THEN DATE_PART('day', p.fecha_vencimiento - CURRENT_DATE)::integer
                        ELSE NULL 
                    END as dias_para_vencer,
                    CASE 
                        WHEN p.stock_actual = 0 THEN 'Sin Stock'
                        WHEN p.stock_actual <= p.stock_minimo THEN 'Bajo'
                        WHEN p.stock_maximo IS NOT NULL AND p.stock_actual > p.stock_maximo THEN 'Excedido'
                        ELSE 'Normal'
                    END as nivel_alerta
                FROM producto p
                LEFT JOIN laboratorio l ON p.id_laboratorio = l.id_laboratorio
                LEFT JOIN seccion s ON p.id_seccion = s.id_seccion
                WHERE 1=1
             AND p.estado = $1) as subquery]
[parameters: ('Activo',)]
(Background on this error at: https://sqlalche.me/e/20/f405)
2025-09-06 17:07:21,475 | ERROR    | main | execute_query:474 | Error en query (intento 3/3): (sqlalchemy.dialects.postgresql.asyncpg.ProgrammingError) <class 'asyncpg.exceptions.UndefinedFunctionError'>: function date_part(unknown, integer) does not exist
HINT:  No function matches the given name and argument types. You might need to add explicit type casts.
[SQL: SELECT COUNT(*) FROM (
                SELECT 
                    p.*,
